asset_id,property_type,region,tenant_industry,credit_tier,annual_rent,property_value,asset_age,lease_term_remaining,occupancy_rate,rent_coverage_ratio,noi_margin,sales_trend_12m,traffic_trend_12m,capex_need_pct_value,delinquency_days,arrears_pct_annual_rent,tenant_concentration_pct,local_unemployment,market_rent_growth,renewal_probability,synthetic_risk_score,portfolio_health
REIT-01558,Industrial,Mountain,Healthcare,Stable,2198549.29,38812426.81,36,7.65,0.9749,0.972,0.5817,-0.1955,0.0136,0.0407,16,0.0,0.0539,0.0441,-0.037,0.5108,72.53,at risk
REIT-01559,Medical Office,West Coast,Auto,Strong Private,859009.14,15281637.9,22,8.39,0.9742,2.677,0.6095,0.0649,0.1083,0.0418,0,0.0,0.0362,0.0541,0.0253,0.8955,25.63,healthy
REIT-01560,Distribution,Southeast,Restaurant,Watch,2135350.42,39167214.62,4,6.03,0.9905,1.703,0.5691,-0.0976,0.0135,0.0158,2,0.0,0.0431,0.0229,-0.0059,0.7308,68.52,at risk
REIT-01561,Industrial,Southeast,Grocery,Strong Private,1164190.68,22166494.52,26,11.67,0.9563,2.184,0.6703,0.073,0.004,0.0325,4,0.0107,0.044,0.021,-0.0338,0.98,22.9,healthy
REIT-01562,Automotive Service,West Coast,Fuel,Watch,1363233.19,18746632.87,32,9.44,0.943,3.261,0.678,-0.0009,-0.0809,0.0169,6,0.0409,0.0559,0.0275,0.0096,0.8139,55.03,watchlist
REIT-01563,Fitness,West Coast,Professional Services,Stable,877852.13,13121395.85,2,0.2,0.9464,2.967,0.653,0.2785,0.0081,0.0258,1,0.0056,0.0177,0.0367,0.0255,0.9636,28.49,healthy
REIT-01564,Quick Service Restaurant,Midwest,Fitness,Stable,828782.35,16856131.82,29,6.93,0.9661,2.31,0.6735,0.0242,0.1249,0.0262,4,0.0,0.0395,0.0276,0.0245,0.8054,36.84,healthy
REIT-01565,Convenience Store,West Coast,Entertainment,Investment Grade,733643.81,13581607.08,37,6.3,0.9764,2.22,0.6551,0.0406,-0.1154,0.0304,0,0.0,0.0383,0.0359,0.0569,0.7748,22.59,healthy
REIT-01566,Automotive Service,West Coast,Grocery,Stable,359643.37,5482156.99,7,12.8,1.0,2.582,0.7325,0.0242,-0.0842,0.0,1,0.0,0.041,0.0349,-0.015,0.98,17.01,healthy
REIT-01567,Medical Office,Southeast,Logistics,Stable,715147.74,11263048.03,7,6.09,0.9956,2.985,0.7778,0.0709,-0.0528,0.0,0,0.0,0.0544,0.0455,0.0818,0.962,17.86,healthy
REIT-01568,Convenience Store,Southeast,Healthcare,Stable,684395.66,12806233.65,11,7.03,0.9489,1.354,0.6902,-0.0404,0.1055,0.0348,1,0.0,0.0452,0.025,0.0018,0.832,39.66,healthy
REIT-01569,Distribution,Midwest,Fitness,Investment Grade,710916.83,12780349.4,34,5.33,0.9211,2.434,0.6373,0.038,0.0099,0.0316,3,0.0,0.0301,0.021,-0.0127,0.8065,33.79,healthy
REIT-01570,Grocery,Southeast,Auto,Stable,1853471.63,29320817.66,35,5.57,0.9982,2.167,0.7341,0.0815,-0.0839,0.0371,1,0.002,0.0506,0.0345,0.0428,0.9673,40.23,healthy
REIT-01571,Entertainment,West Coast,Healthcare,Stable,1172172.43,17425328.3,7,7.97,0.9991,2.529,0.7181,0.0031,0.076,0.0182,8,0.0,0.0428,0.0537,0.0245,0.7058,28.15,healthy
REIT-01572,Grocery,Southeast,Fitness,Watch,1486188.28,25421360.24,41,0.2,0.9736,3.217,0.7694,0.0129,-0.0235,0.0475,5,0.0239,0.0567,0.0467,0.0417,0.727,58.37,watchlist
REIT-01573,Automotive Service,West Coast,Manufacturing,Investment Grade,494230.35,9319647.98,39,9.98,0.9087,2.556,0.8182,0.0759,0.0944,0.009,16,0.0,0.0263,0.0309,0.0321,0.9487,14.43,healthy
REIT-01574,Office,Southwest,Fitness,Watch,971414.68,10150872.14,25,4.56,0.9955,1.87,0.662,-0.1686,0.1071,0.0251,32,0.0238,0.0077,0.0246,0.0593,0.5209,86.14,at risk
REIT-01575,Grocery,Southwest,Auto,Stable,1594739.5,27263423.93,29,9.98,1.0,1.832,0.6296,0.022,0.1135,0.0178,15,0.0117,0.0577,0.0215,0.051,0.8848,44.54,healthy
REIT-01576,Quick Service Restaurant,West Coast,Professional Services,Watch,813004.9,18066775.45,33,3.95,0.9953,1.759,0.3605,-0.0188,-0.0609,0.0096,4,0.0316,0.0141,0.0542,0.0238,0.621,81.56,at risk
REIT-01577,Medical Office,Southeast,Professional Services,Stable,1227920.23,17617440.94,13,5.54,0.9489,1.847,0.5182,0.0839,0.0479,0.0114,3,0.0,0.0444,0.0748,-0.0038,0.8554,42.89,healthy
REIT-01578,Distribution,Southeast,Auto,Stable,2954024.62,42754240.04,26,1.37,1.0,2.374,0.6576,0.1551,-0.0622,0.0263,2,0.0,0.0563,0.021,0.033,0.98,43.06,healthy
REIT-01579,Automotive Service,Southeast,Manufacturing,Stable,1047606.84,16230800.85,16,3.71,0.8554,1.92,0.8451,0.0288,-0.0156,0.0218,6,0.0531,0.037,0.0541,0.0303,0.667,70.38,at risk
REIT-01580,Automotive Service,Mountain,Healthcare,Investment Grade,407009.1,5992868.82,30,4.89,0.9159,2.329,0.4805,0.0816,0.0828,0.0367,1,0.0,0.0674,0.0369,0.0809,0.8417,10.42,healthy
REIT-01581,Medical Office,Southwest,Restaurant,Investment Grade,475262.58,7433077.84,33,7.74,0.9535,3.69,0.559,0.2247,0.106,0.0312,5,0.0,0.0265,0.0454,0.0054,0.98,8.93,healthy
REIT-01582,Industrial,Northeast,Fitness,Stable,2223230.67,39742929.79,20,13.22,0.9478,3.0,0.6701,0.0414,-0.0594,0.0,5,0.0,0.0375,0.0584,0.0319,0.98,23.94,healthy
REIT-01583,Distribution,Southwest,Fuel,Watch,3006600.82,46835134.91,16,7.94,0.9673,2.982,0.634,0.0901,-0.0411,0.0342,19,0.0409,0.0473,0.0395,-0.0127,0.9698,58.17,watchlist
REIT-01584,Automotive Service,Southwest,Restaurant,Watch,504276.93,7018368.08,32,13.09,0.8883,1.358,0.6521,-0.1021,0.0076,0.0302,1,0.0185,0.037,0.0308,-0.0364,0.8981,79.14,at risk
REIT-01585,Distribution,Southwest,Restaurant,Stable,2229755.42,30113242.84,24,7.41,0.9792,2.75,0.7412,0.0313,-0.0119,0.0044,3,0.0092,0.0496,0.0441,0.0226,0.731,26.29,healthy
REIT-01586,Distribution,Southeast,Restaurant,Stable,1656285.96,25883688.69,6,8.33,0.9333,3.176,0.5424,-0.1797,-0.0005,0.0085,0,0.0,0.0224,0.0432,0.042,0.8788,36.5,healthy
REIT-01587,Convenience Store,Mountain,Professional Services,Strong Private,574612.25,9522889.51,19,8.79,1.0,2.685,0.769,-0.0601,0.0902,0.0207,20,0.0575,0.039,0.0309,0.0329,0.98,35.1,healthy
REIT-01588,Fitness,Mountain,Auto,Strong Private,551344.13,7709657.59,25,4.4,0.9416,2.722,0.7102,0.1049,0.1308,0.0443,1,0.0,0.0238,0.0266,-0.0382,0.7925,22.17,healthy
REIT-01589,Quick Service Restaurant,Southwest,Healthcare,Watch,681991.81,10333438.47,18,11.23,0.9605,2.342,0.7727,0.0584,-0.0022,0.0296,17,0.0597,0.0318,0.0342,-0.08,0.98,63.18,watchlist
REIT-01590,Grocery,Southeast,Professional Services,Stable,2498220.71,40306859.88,37,11.26,1.0,3.121,0.7181,0.1137,0.0248,0.0354,19,0.0247,0.0655,0.0402,-0.0498,0.98,22.36,healthy
REIT-01591,Entertainment,Southeast,Logistics,Investment Grade,838539.29,12921639.69,28,2.98,0.9796,2.341,0.6949,0.0026,-0.0179,0.0086,2,0.0,0.0287,0.0604,0.0232,0.8259,26.62,healthy
REIT-01592,Entertainment,Southwest,Manufacturing,Strong Private,600953.1,7937777.52,21,5.38,0.9565,2.37,0.6083,-0.0019,-0.0119,0.0319,1,0.0,0.022,0.0407,0.0509,0.842,26.01,healthy
REIT-01593,Grocery,West Coast,Entertainment,Strong Private,2239254.08,35148388.35,20,8.95,0.995,2.017,0.7881,0.1073,0.1967,0.0117,6,0.0235,0.0378,0.0354,0.0332,0.98,26.74,healthy
REIT-01594,Fitness,Southwest,Professional Services,Stable,793232.11,12969087.86,11,10.92,1.0,2.771,0.6727,-0.0408,0.0576,0.0231,1,0.0,0.003,0.0341,0.0488,0.98,18.88,healthy
REIT-01595,Distribution,West Coast,Fitness,Strong Private,1994650.97,30437958.38,19,13.87,1.0,3.149,0.7367,0.1379,0.022,0.0149,6,0.0,0.05,0.0328,0.0019,0.98,11.21,healthy
REIT-01596,Office,West Coast,Manufacturing,Stable,721515.03,9831497.34,25,5.12,0.9271,2.506,0.8136,-0.085,0.0595,0.0214,10,0.0,0.0212,0.0413,0.0403,0.7465,47.66,watchlist
REIT-01597,Distribution,West Coast,Auto,Stable,2590797.32,42836738.49,25,7.62,0.981,1.839,0.5848,0.0106,-0.0591,0.0252,2,0.0,0.0463,0.0364,0.008,0.9739,35.55,healthy
REIT-01598,Office,Southeast,Restaurant,Watch,2423072.23,31340839.29,37,7.37,0.9644,1.955,0.6397,-0.1962,-0.006,0.0463,4,0.0,0.0529,0.0507,0.0392,0.6069,74.68,at risk
REIT-01599,Convenience Store,Southeast,Healthcare,Strong Private,689963.15,10389803.22,33,6.46,0.9907,2.207,0.8013,-0.0306,-0.0746,0.0297,9,0.0329,0.0483,0.0342,0.0158,0.8947,39.52,healthy
REIT-01600,Quick Service Restaurant,Southwest,Auto,Strong Private,537367.99,9915858.58,25,12.38,0.9532,2.519,0.721,0.0085,0.0113,0.0297,7,0.0322,0.0488,0.021,0.0379,0.862,26.84,healthy
REIT-01601,Quick Service Restaurant,Mountain,Professional Services,Stable,366577.52,7496659.37,9,6.99,1.0,2.739,0.6218,-0.0486,0.1217,0.0,0,0.011,0.0113,0.0372,-0.0119,0.9738,33.52,healthy
REIT-01602,Industrial,Midwest,Entertainment,Strong Private,1778991.2,26308242.29,39,8.16,1.0,3.324,0.8566,0.1251,0.0266,0.0287,0,0.0,0.0533,0.0583,0.0606,0.8728,1.63,healthy
REIT-01603,Grocery,Southeast,Grocery,Strong Private,2565216.36,43382033.67,9,3.93,0.95,1.991,0.6242,0.0389,-0.0231,0.0063,7,0.004,0.0845,0.0396,0.0277,0.5898,37.86,healthy
REIT-01604,Grocery,West Coast,Restaurant,Weak,1003754.38,15963135.25,28,2.73,0.9808,1.593,0.6514,0.0223,-0.0674,0.0179,10,0.0444,0.0511,0.021,0.0285,0.4244,100.0,at risk
REIT-01605,Quick Service Restaurant,West Coast,Grocery,Stable,536410.1,11515983.42,35,4.98,0.9137,3.012,0.7295,-0.1613,0.0377,0.0106,4,0.0394,0.0381,0.0602,0.0338,0.7953,49.69,watchlist
REIT-01606,Office,Midwest,Grocery,Investment Grade,1335078.49,18066638.73,4,8.11,0.9532,2.41,0.7508,-0.1623,0.0023,0.0307,1,0.0398,0.0538,0.0268,0.0272,0.91,29.41,healthy
REIT-01607,Entertainment,West Coast,Fuel,Investment Grade,838654.02,10579630.46,28,5.88,0.9844,2.406,0.6017,-0.0446,-0.0525,0.0424,2,0.0,0.0261,0.0411,0.0099,0.7593,28.81,healthy
REIT-01608,Industrial,West Coast,Logistics,Stable,2194101.51,32332057.72,5,12.28,0.9187,2.899,0.5741,0.0493,0.0064,0.0185,14,0.0057,0.0261,0.0299,0.0269,0.98,35.62,healthy
REIT-01609,Industrial,Southeast,Fitness,Watch,1578876.56,29349868.22,1,3.91,0.9736,2.342,0.6604,0.023,-0.1133,0.0078,14,0.0118,0.0239,0.0495,0.0766,0.8883,52.53,watchlist
REIT-01610,Quick Service Restaurant,Midwest,Fuel,Strong Private,511149.74,7168256.7,16,11.67,0.9358,2.868,0.7407,0.201,0.0411,0.0067,1,0.0191,0.0528,0.0219,-0.0016,0.9394,24.19,healthy
REIT-01611,Medical Office,Northeast,Grocery,Strong Private,842729.43,13410017.2,8,4.93,1.0,4.025,0.791,-0.0473,0.0282,0.0219,2,0.0,0.029,0.0351,0.003,0.98,1.9,healthy
REIT-01612,Convenience Store,Southwest,Healthcare,Strong Private,299935.82,6035257.97,22,9.35,0.9601,1.756,0.7557,0.1901,-0.0056,0.0255,6,0.0252,0.0169,0.021,-0.0244,0.98,40.25,healthy
REIT-01613,Quick Service Restaurant,Southwest,Fitness,Stable,503892.64,7484021.94,40,6.15,0.9858,1.825,0.7898,-0.0882,0.0213,0.0353,0,0.0,0.0415,0.0337,0.0906,0.6036,48.68,watchlist
REIT-01614,Quick Service Restaurant,West Coast,Professional Services,Stable,373518.83,5638711.79,25,7.91,0.9622,2.597,0.6675,0.0323,0.1132,0.0276,3,0.0,0.0747,0.0334,-0.0005,0.98,29.49,healthy
REIT-01615,Office,Southwest,Restaurant,Strong Private,1467459.76,19596867.49,33,6.77,0.9857,2.24,0.5393,0.1206,0.016,0.0412,5,0.0,0.0675,0.0433,0.0351,0.9328,27.98,healthy
REIT-01616,Distribution,Southeast,Auto,Investment Grade,2303501.62,38069496.31,20,2.75,0.9933,3.122,0.6834,-0.0283,0.0559,0.0173,4,0.0031,0.0653,0.0398,0.0186,0.7669,5.9,healthy
REIT-01617,Fitness,Northeast,Logistics,Investment Grade,399631.88,6979589.17,34,0.2,0.9866,3.214,0.6524,0.2419,0.1233,0.0255,5,0.0,0.0431,0.0486,-0.0327,0.9616,17.05,healthy
REIT-01618,Quick Service Restaurant,Midwest,Restaurant,Investment Grade,621256.56,8893168.22,23,4.6,0.9406,3.124,0.7556,0.1401,-0.0215,0.0311,0,0.0,0.0488,0.0512,-0.056,0.98,9.23,healthy
REIT-01619,Quick Service Restaurant,Southwest,Grocery,Watch,296800.55,5501429.67,10,0.2,0.9851,2.687,0.692,0.0536,-0.0213,0.0117,4,0.0066,0.0364,0.0586,0.0654,0.6795,64.2,watchlist
REIT-01620,Office,Southeast,Restaurant,Stable,1425634.53,17651211.71,2,6.29,0.9976,2.254,0.6961,0.0147,-0.0374,0.0221,12,0.0073,0.0464,0.0281,0.0199,0.7897,34.49,healthy
REIT-01621,Automotive Service,Southwest,Grocery,Stable,621961.26,9990593.54,11,10.19,0.9711,2.509,0.7146,0.0654,-0.0067,0.0323,1,0.0175,0.0121,0.0282,-0.0314,0.98,33.77,healthy
REIT-01622,Office,Southwest,Grocery,Stable,990280.15,12916488.72,13,1.97,0.9594,2.514,0.7897,0.153,-0.0747,0.0329,9,0.0137,0.0272,0.022,-0.0163,0.98,55.74,watchlist
REIT-01623,Medical Office,Southeast,Logistics,Watch,581522.69,9916022.15,40,0.2,0.967,1.943,0.7765,-0.1121,0.1059,0.0212,6,0.025,0.0337,0.066,-0.0475,0.5051,91.85,at risk
REIT-01624,Fitness,West Coast,Auto,Strong Private,1272274.59,19053898.0,18,8.96,0.9353,2.962,0.5855,0.1032,-0.1256,0.0076,2,0.0002,0.0317,0.0576,0.0697,0.98,15.73,healthy
REIT-01625,Grocery,Southeast,Restaurant,Watch,1919542.8,30113872.21,27,8.9,0.9952,2.625,0.7483,-0.102,0.0795,0.0006,15,0.0264,0.0631,0.0361,0.0363,0.8135,48.21,watchlist
REIT-01626,Industrial,Southeast,Auto,Weak,4062699.23,67677064.89,25,0.2,1.0,1.895,0.6336,-0.1075,-0.0207,0.0225,8,0.0689,0.026,0.0454,0.0414,0.4556,98.83,at risk
REIT-01627,Quick Service Restaurant,Southeast,Auto,Stable,479793.27,7281380.7,5,5.95,0.9508,1.142,0.6855,0.0048,-0.0375,0.0067,7,0.0,0.0301,0.0216,0.0363,0.98,63.34,watchlist
REIT-01628,Office,Northeast,Auto,Watch,836374.3,11145873.4,33,1.44,0.9811,1.643,0.7248,0.1136,-0.1278,0.0292,7,0.0309,0.022,0.0551,0.0481,0.7819,76.1,at risk
REIT-01629,Fitness,Mountain,Logistics,Strong Private,1467013.5,20028783.64,29,6.41,0.9701,3.936,0.6774,0.1721,0.176,0.014,5,0.0003,0.0207,0.0563,0.034,0.98,0.0,healthy
REIT-01630,Grocery,Mountain,Restaurant,Investment Grade,2386349.72,35084273.49,21,8.93,0.972,2.977,0.7608,0.0482,-0.034,0.0293,4,0.0,0.0328,0.0462,0.0011,0.98,12.72,healthy
REIT-01631,Quick Service Restaurant,Midwest,Healthcare,Strong Private,604294.72,9491915.68,38,5.51,0.9333,3.106,0.789,-0.0217,-0.0969,0.0162,13,0.0145,0.039,0.0546,0.0234,0.9571,33.55,healthy
REIT-01632,Office,Mountain,Logistics,Strong Private,732254.09,8787234.28,6,12.54,0.9452,1.415,0.5696,0.0176,0.071,0.0072,0,0.0,0.0064,0.0552,-0.0219,0.8735,53.14,watchlist
REIT-01633,Industrial,West Coast,Healthcare,Strong Private,3556930.99,58115023.11,40,6.07,0.9392,2.805,0.6834,0.0534,0.0373,0.0424,4,0.0041,0.081,0.021,0.001,0.8417,16.44,healthy
REIT-01634,Convenience Store,Northeast,Entertainment,Strong Private,422862.88,9088935.01,41,5.52,0.9473,1.512,0.7087,0.0928,0.0152,0.0278,1,0.0,0.0229,0.0286,-0.0117,0.7741,44.55,healthy
REIT-01635,Automotive Service,Southeast,Fitness,Investment Grade,450107.17,6306962.84,35,9.92,0.9999,3.721,0.7453,0.0688,0.0736,0.0156,1,0.0,0.0459,0.0497,0.0006,0.98,0.0,healthy
REIT-01636,Grocery,Northeast,Professional Services,Stable,1026302.95,16334369.37,24,4.94,0.9763,2.439,0.7729,0.005,-0.0384,0.0321,10,0.0278,0.0349,0.0525,0.0028,0.8195,40.07,healthy
REIT-01637,Convenience Store,Southeast,Grocery,Investment Grade,356962.0,6850758.23,36,3.49,0.9817,1.117,0.7796,0.0429,0.1194,0.0384,9,0.0113,0.0334,0.0638,0.048,0.8276,41.8,healthy
REIT-01638,Convenience Store,Mountain,Logistics,Stable,359275.08,6024900.66,23,9.39,0.9805,3.542,0.7705,0.0623,0.0169,0.0283,10,0.0,0.0213,0.0245,0.0224,0.98,12.39,healthy
REIT-01639,Quick Service Restaurant,Northeast,Professional Services,Strong Private,949027.89,18690283.17,23,2.88,0.9324,2.285,0.6251,0.0787,0.027,0.0188,0,0.0,0.0556,0.0523,-0.0274,0.7643,39.46,healthy
REIT-01640,Office,Midwest,Auto,Investment Grade,1113870.07,14394909.97,6,7.88,1.0,2.339,0.7811,0.0991,-0.0648,0.0297,0,0.0,0.0209,0.0612,0.042,0.98,11.14,healthy
REIT-01641,Quick Service Restaurant,West Coast,Logistics,Investment Grade,740683.96,10249046.11,27,9.52,0.9964,2.411,0.609,0.0894,-0.0458,0.0,3,0.0406,0.0503,0.0451,0.0171,0.8688,11.06,healthy
REIT-01642,Medical Office,Southwest,Fuel,Stable,1264746.14,17666037.17,40,3.87,0.9565,1.215,0.6762,-0.0097,0.0723,0.0386,6,0.0,0.0618,0.0483,0.0912,0.8919,56.46,watchlist
REIT-01643,Quick Service Restaurant,West Coast,Manufacturing,Stable,328190.6,5307016.91,16,11.69,1.0,2.422,0.7867,0.1648,-0.0309,0.0332,5,0.0182,0.047,0.0366,0.0511,0.98,41.77,healthy
REIT-01644,Quick Service Restaurant,Southwest,Logistics,Strong Private,515032.57,7949183.79,26,7.44,1.0,2.415,0.6829,-0.0345,-0.027,0.0251,8,0.0186,0.0144,0.049,0.0456,0.91,24.18,healthy
REIT-01645,Quick Service Restaurant,Southeast,Grocery,Watch,420190.87,9337575.0,24,12.64,0.9536,2.566,0.7627,-0.0131,0.1346,0.008,5,0.0,0.003,0.0342,-0.0036,0.9717,41.51,healthy
REIT-01646,Automotive Service,Southeast,Fuel,Stable,569790.39,7639306.42,7,8.46,0.931,3.071,0.7096,-0.0121,0.0523,0.0081,1,0.0275,0.0471,0.021,0.032,0.7621,29.96,healthy
REIT-01647,Fitness,West Coast,Grocery,Stable,604830.79,7932109.54,13,10.93,0.969,2.133,0.6649,-0.0364,0.0343,0.0181,14,0.0,0.0455,0.0322,-0.0474,0.866,47.15,watchlist
REIT-01648,Medical Office,Southeast,Manufacturing,Watch,609026.6,9923197.89,11,8.66,0.9723,2.711,0.7752,0.0583,0.0464,0.0,25,0.0131,0.0156,0.0484,-0.0039,0.98,36.85,healthy
REIT-01649,Fitness,Northeast,Logistics,Strong Private,766720.98,11466055.51,2,10.44,0.9366,3.082,0.7228,-0.0228,-0.0143,0.001,2,0.0,0.0212,0.0636,0.0049,0.98,18.5,healthy
REIT-01650,Industrial,Midwest,Restaurant,Strong Private,3780075.9,47669702.94,35,5.53,0.9291,2.379,0.7356,-0.08,0.0701,0.0095,2,0.0,0.0861,0.0511,-0.0035,0.7385,41.23,healthy
REIT-01651,Quick Service Restaurant,Northeast,Restaurant,Investment Grade,710302.87,12888258.44,29,9.75,0.9457,1.938,0.7449,-0.0568,0.0301,0.02,8,0.0072,0.0377,0.0497,0.0662,0.7273,41.34,healthy
REIT-01652,Entertainment,West Coast,Manufacturing,Watch,1610238.48,24409508.78,6,9.35,0.9331,2.663,0.6558,-0.0855,-0.0372,0.0129,14,0.0165,0.0382,0.0279,-0.0455,0.8808,66.94,watchlist
REIT-01653,Fitness,West Coast,Fitness,Strong Private,460446.18,6936975.06,30,11.33,0.9583,2.842,0.6581,-0.0493,0.0144,0.0294,0,0.0161,0.0528,0.0274,0.0722,0.7773,26.5,healthy
REIT-01654,Entertainment,Midwest,Professional Services,Watch,904334.58,12676744.84,31,7.23,0.9022,1.809,0.7684,-0.1438,-0.0461,0.004,10,0.0553,0.0165,0.0396,0.0265,0.6252,90.74,at risk
REIT-01655,Grocery,Southeast,Grocery,Strong Private,975273.86,21074511.66,35,9.53,0.9784,2.077,0.825,0.0537,-0.0211,0.0428,0,0.0349,0.0322,0.0475,0.0556,0.9236,27.55,healthy
REIT-01656,Distribution,West Coast,Healthcare,Stable,1492624.33,21528845.67,35,9.51,0.9404,2.366,0.6924,0.0537,-0.0277,0.0431,21,0.0291,0.0156,0.0528,-0.0143,0.9606,50.03,watchlist
REIT-01657,Quick Service Restaurant,Southeast,Grocery,Investment Grade,435574.64,7886849.18,38,6.03,0.9199,3.835,0.7432,-0.0164,0.0065,0.0217,6,0.0447,0.0037,0.0787,0.0042,0.9024,0.0,healthy
REIT-01658,Medical Office,Southwest,Professional Services,Strong Private,672359.19,8581699.55,15,5.99,0.9656,1.217,0.7193,0.0212,-0.0431,0.0093,2,0.0442,0.0219,0.0709,0.014,0.7867,47.98,watchlist
REIT-01659,Automotive Service,Southwest,Logistics,Stable,487967.71,6721138.8,37,8.31,0.992,2.922,0.7256,-0.0223,0.1287,0.0193,1,0.0,0.006,0.055,-0.0411,0.8999,30.94,healthy
REIT-01660,Industrial,Southwest,Healthcare,Investment Grade,1378427.63,25725215.71,21,8.15,1.0,2.738,0.7644,-0.0248,0.0082,0.0531,1,0.0161,0.0547,0.052,0.0592,0.9745,10.8,healthy
REIT-01661,Fitness,Southeast,Restaurant,Stable,894167.12,16231543.01,5,1.45,0.878,2.401,0.6635,-0.0371,0.046,0.0183,3,0.0219,0.0354,0.0429,0.0215,0.589,64.58,watchlist
REIT-01662,Fitness,Mountain,Grocery,Stable,1306678.46,15717399.5,12,4.77,0.968,1.005,0.6281,0.0558,-0.0511,0.0149,0,0.0,0.0645,0.0304,-0.0361,0.5305,72.72,at risk
REIT-01663,Grocery,Northeast,Logistics,Strong Private,1108524.3,19679767.27,32,4.36,0.9044,3.534,0.6783,0.0395,-0.0838,0.0223,2,0.0,0.0688,0.0336,0.0433,0.98,15.75,healthy
REIT-01664,Fitness,Northeast,Restaurant,Stable,683314.22,9931367.29,41,11.89,0.9513,1.541,0.5467,-0.0758,0.0896,0.0519,12,0.0105,0.0546,0.0329,-0.0015,0.8779,65.19,watchlist
REIT-01665,Grocery,Southwest,Logistics,Stable,1264438.37,23788170.37,15,5.84,0.9337,2.915,0.8239,0.017,0.1746,0.0044,8,0.0254,0.0093,0.0334,0.038,0.98,16.01,healthy
REIT-01666,Automotive Service,Northeast,Auto,Watch,996198.31,15459917.85,40,7.78,0.9641,2.302,0.7134,0.0451,-0.0978,0.0423,4,0.0192,0.0349,0.0372,0.0432,0.7111,55.95,watchlist
REIT-01667,Distribution,Midwest,Logistics,Stable,2261206.45,40528396.98,29,13.58,0.9538,2.145,0.7404,0.1018,0.0386,0.0411,0,0.0,0.0431,0.035,-0.001,0.98,29.95,healthy
REIT-01668,Grocery,West Coast,Fitness,Investment Grade,653810.45,10815773.08,37,8.41,0.964,3.002,0.6769,-0.0299,0.0687,0.024,3,0.0093,0.0222,0.028,-0.0523,0.98,1.92,healthy
REIT-01669,Industrial,Southwest,Fuel,Stable,1564013.96,20336960.51,1,6.75,0.9949,2.542,0.7272,-0.075,-0.0047,0.0,0,0.0,0.0509,0.045,0.0289,0.98,17.38,healthy
REIT-01670,Office,Southeast,Professional Services,Stable,2295016.84,27688325.5,34,9.46,0.9204,3.563,0.6515,0.0696,0.0381,0.0162,4,0.0288,0.0363,0.0474,0.0909,0.98,30.7,healthy
REIT-01671,Industrial,Midwest,Grocery,Strong Private,1700206.02,30137428.41,2,3.38,1.0,2.855,0.5387,0.1138,-0.032,0.0093,0,0.0,0.0197,0.0323,-0.0449,0.7224,28.68,healthy
REIT-01672,Convenience Store,West Coast,Grocery,Strong Private,221329.06,3626166.36,21,2.08,1.0,3.606,0.7128,-0.1312,-0.0396,0.041,25,0.0313,0.0172,0.0583,-0.0072,0.7364,44.51,healthy
REIT-01673,Quick Service Restaurant,Southeast,Manufacturing,Stable,285836.3,4845801.62,39,9.37,0.8835,3.187,0.6228,0.0709,-0.0815,0.018,3,0.0534,0.0241,0.0307,0.0473,0.807,40.0,healthy
REIT-01674,Quick Service Restaurant,West Coast,Manufacturing,Stable,675287.53,10030377.62,9,2.19,0.9171,2.585,0.7043,-0.0014,-0.1372,0.0,12,0.0188,0.0456,0.0403,0.0053,0.8114,51.31,watchlist
REIT-01675,Medical Office,Midwest,Auto,Watch,1061229.21,18338144.0,16,5.47,0.9716,2.515,0.7606,0.0965,-0.0187,0.026,12,0.0308,0.0485,0.0295,-0.0556,0.8759,58.97,watchlist
REIT-01676,Convenience Store,West Coast,Entertainment,Weak,416155.22,6003142.15,13,5.59,0.9368,1.709,0.7594,-0.053,0.0904,0.0135,2,0.0388,0.0257,0.0246,-0.014,0.666,77.8,at risk
REIT-01677,Distribution,Mountain,Healthcare,Watch,1798636.22,28155084.61,32,8.04,0.9581,3.155,0.6348,0.0644,-0.0176,0.0231,10,0.0336,0.0737,0.0263,0.0405,0.98,41.4,healthy
REIT-01678,Medical Office,Southwest,Logistics,Stable,309861.51,5136684.31,10,5.1,0.9295,3.427,0.7755,0.0958,-0.0493,0.0379,2,0.0145,0.0254,0.021,0.019,0.8225,18.97,healthy
REIT-01679,Entertainment,Southwest,Professional Services,Weak,812183.6,9383227.5,10,8.57,0.9559,1.069,0.8177,-0.1299,0.0456,0.0225,34,0.0152,0.0223,0.0245,0.0235,0.401,100.0,at risk
REIT-01680,Convenience Store,West Coast,Auto,Strong Private,268149.52,4765310.68,7,6.52,0.9916,2.064,0.5942,0.0585,0.0178,0.0,5,0.0216,0.027,0.0468,0.0301,0.7943,32.4,healthy
REIT-01681,Entertainment,Southwest,Grocery,Strong Private,1263061.81,18234672.61,41,3.86,0.9493,3.535,0.5502,0.0125,0.1588,0.0299,3,0.0008,0.0562,0.0262,0.0185,0.98,15.21,healthy
REIT-01682,Distribution,West Coast,Grocery,Investment Grade,1973348.44,30736731.68,23,10.95,0.9656,1.405,0.6795,0.064,0.1405,0.0268,3,0.017,0.0462,0.0435,0.0016,0.7719,31.5,healthy
REIT-01683,Entertainment,Southwest,Fuel,Watch,2097236.53,27317883.4,8,9.23,0.9683,2.866,0.6577,-0.0144,-0.1427,0.0113,4,0.0,0.0179,0.0626,0.0546,0.6917,50.48,watchlist
